Ref,Val,Package,PosX,PosY,Rot,Side
R36,2k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,91.500000,-114.644000,90.000000,top
R37,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.470000,-134.262000,270.000000,top
R38,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,154.400000,-134.300000,270.000000,top
R39,51R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.066000,-139.408000,180.000000,top
R40,51R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.200000,-133.200000,0.000000,top
R41,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.900000,-159.400000,0.000000,top
R42,51R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.066000,-147.790000,180.000000,top
R43,51R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.066000,-149.822000,180.000000,top
R45,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,75.100000,-64.000000,90.000000,top
R46,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,215.051200,-104.720000,270.000000,top
R47,1k5,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,77.700000,-89.624000,90.000000,top
R48,1k5,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,79.400000,-89.624000,90.000000,top
R49,1k5,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,89.800000,-102.832000,90.000000,top
R50,1k5,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,91.499998,-102.832000,90.000000,top
R51,560R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,75.100000,-67.700000,270.000000,top
R52,560R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,212.751200,-104.720000,270.000000,top
R57,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,94.076000,-136.360000,0.000000,top
R58,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,86.710000,-142.964000,90.000000,top
R59,100R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-55.080000,0.000000,top
R60,100R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-57.112000,0.000000,top
R61,100R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-73.368000,0.000000,top
R62,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,203.753200,-157.950000,180.000000,top
R63,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,102.966000,-160.236000,90.000000,top
R64,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,203.753200,-154.990900,180.000000,top
R65,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,203.753200,-152.031800,180.000000,top
R66,100R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-75.273000,0.000000,top
R67,22R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,73.504000,-147.133000,0.000000,top
R68,22R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,73.504000,-144.593000,0.000000,top
R69,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81.122000,-142.964000,90.000000,top
R70,47K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-79.083000,0.000000,top
R71,100R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-77.178000,0.000000,top
R72,22K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-61.176000,0.000000,top
R73,30K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-63.208000,0.000000,top
R74,47K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-80.988000,0.000000,top
R75,100R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-84.798000,0.000000,top
R76,1K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.461000,-91.973500,0.000000,top
R77,47K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-82.893000,0.000000,top
R78,100R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.461000,-73.768000,0.000000,top
R79,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.692000,-138.128000,90.000000,top
R80,1K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.461000,-84.036000,0.000000,top
